"Timestamp","Hi,
You might remember we ran a survey where we asked you to write your opinion about 'Is the current economic condition of United Kingdom caused by Brexit ?'
This is a follow-up survey where you need to rate various algorithmic summaries.
During the survey, you will be properly instructed about the task in different sections. We will record your responses given during the survey.
Your valuable opinion expressed in this survey may contribute to important research findings. So, we request you to read the instructions meticulously and answer all the questions judiciously.
Results from the survey may be published in a research forum. However, no personal information will be published except in aggregate forms (such as averages and/or totals). We will neither publish nor share any information which will disclose any of your confidential information. All information will be protected to the greatest extent allowed by law, and data will be kept secured during and after the survey.
Selecting the ""Agree"" button indicates the following:
1. You have read the above information
2. You voluntarily agree to participate in the survey","Please enter your Prolific ID","How much are you satisfied with the Cluster Rank summary ?","Your opinion about the Cluster Rank summary ?","How much are you satisfied with the DSDR Non Linear summary ?","Your opinion about the DSDR Non Linear summary ?","How much are you satisfied with the Lex Rank summary ?","Your opinion about the Lex Rank summary ?","How much are you satisfied with the Summ Basic summary ?","Your opinion about the Summ Basic summary ?","How much are you satisfied with the LSA summary ?","Your opinion about the LSA summary ?","How much are you satisfied with the LUHN summary ?","Your opinion about the LUHN summary ?","How much are you satisfied with the Summa RNN-RNN summary ?","Your opinion about the Summa RNN-RNN summary ?","On topics similar to this, what do you think will constitute a good summary ?","In the referendum on whether the UK should remain a member of the EU (BREXIT), how did you vote? (June 23 2016)"
"2023/01/11 4:23:27 AM GMT+5:30","Agree","62b07159ba623a4beb4012e0","9","Covers cons of BREXIT","9","Covers cons of BREXIT","8","Covers cons of BREXIT","7","Shows both pros and cons of BREXIT","7","Shows both pros and cons of BREXIT","10","Shows both pros and cons of BREXIT","9","Covers cons of BREXIT","Summary which reflects your opinion + other people's opinion","Remain"
"2023/01/11 4:26:02 AM GMT+5:30","Agree","55848744fdf99b574f55ada0","6","Covers cons of BREXIT","1","Covers cons of BREXIT","3","Covers cons of BREXIT","3","Covers cons of BREXIT","3","Covers cons of BREXIT","5","Covers cons of BREXIT","4","Covers cons of BREXIT","Summary which reflects your opinion + other people's opinion","Leave"
"2023/01/11 4:29:46 AM GMT+5:30","Agree","5eac351c63858608351866b4","7","Covers cons of BREXIT","5","Covers cons of BREXIT","5","Shows both pros and cons of BREXIT","4","Shows both pros and cons of BREXIT","7","Shows both pros and cons of BREXIT","8","Shows both pros and cons of BREXIT","8","Shows both pros and cons of BREXIT","Summary which does not reflect your opinion","Remain"
"2023/01/11 4:33:28 AM GMT+5:30","Agree","5ed93031e5e1620ec088366e","6","Covers cons of BREXIT","6","Covers cons of BREXIT","2","Shows both pros and cons of BREXIT","3","Shows both pros and cons of BREXIT","5","Shows both pros and cons of BREXIT","6","Shows both pros and cons of BREXIT","6","Shows both pros and cons of BREXIT","Summary which reflects your opinion + other people's opinion","Remain"
"2023/01/11 4:37:29 AM GMT+5:30","Agree","6112892b5e6ad30da6d84b9e","6","Shows both pros and cons of BREXIT","7","Shows both pros and cons of BREXIT","3","Shows both pros and cons of BREXIT","2","Covers cons of BREXIT","8","Covers pros of BREXIT","6","Shows both pros and cons of BREXIT","7","Shows both pros and cons of BREXIT","Summary which reflects your opinion + other people's opinion","Leave"
"2023/01/11 4:48:43 AM GMT+5:30","Agree","615233b197ee051f7fbabd6f","8","Shows both pros and cons of BREXIT","7","Shows both pros and cons of BREXIT","6","Covers cons of BREXIT","5","Covers cons of BREXIT","6","Covers cons of BREXIT","6","Covers cons of BREXIT","6","Covers cons of BREXIT","Summary which reflects your opinion + other people's opinion","Leave"
"2023/01/11 4:53:49 AM GMT+5:30","Agree","5fec4bf28fd71dda83c7f34e","5","Covers cons of BREXIT","4","Covers cons of BREXIT","1","Covers cons of BREXIT","7","Covers cons of BREXIT","3","Covers cons of BREXIT","5","Covers cons of BREXIT","4","Covers cons of BREXIT","Summary which does not reflect your opinion","Leave"
"2023/01/11 5:18:57 AM GMT+5:30","Agree","6321292a23a6ebce8db47d93","3","Covers cons of BREXIT","3","Covers cons of BREXIT","7","Covers cons of BREXIT","9","Covers cons of BREXIT","6","Covers pros of BREXIT","9","Covers pros of BREXIT","5","Shows both pros and cons of BREXIT","Summary which reflects your opinion + other people's opinion","Leave"
"2023/01/11 5:20:43 AM GMT+5:30","Agree","5fb4b543282b20203734ba72","8","Covers cons of BREXIT","8","Covers cons of BREXIT","2","Shows both pros and cons of BREXIT","5","Shows both pros and cons of BREXIT","7","Covers cons of BREXIT","6","Shows both pros and cons of BREXIT","7","Shows both pros and cons of BREXIT","Summary which reflects your opinion + other people's opinion","Remain"
"2023/01/11 5:51:35 AM GMT+5:30","Agree","5fcca7bf6a7182b003b32a36","8","Covers cons of BREXIT","9","Covers cons of BREXIT","6","Covers cons of BREXIT","7","Covers cons of BREXIT","8","Covers cons of BREXIT","8","Covers cons of BREXIT","8","Covers cons of BREXIT","Summary which reflects your opinion + other people's opinion","Remain"
