Timestamp,"Dear participant
This survey intends to understand participants opinion about 'Is the current economic condition of United Kingdom caused by Brexit ?'
During the survey, you will be properly instructed about the task in different sections. We will record your responses given during the survey.
Your valuable opinion expressed in this survey may contribute to important research findings. So, we request you to read the instructions meticulously and answer all the questions judiciously.
Results from the survey may be published in a research forum. However, no personal information will be published except in aggregate forms (such as averages and/or totals). We will neither publish nor share any information which will disclose any of your confidential information. All information will be protected to the greatest extent allowed by law, and data will be kept secured during and after the survey.
Selecting the ""Agree"" button indicates the following:
1. You have read the above information
2. You voluntarily agree to participate in the survey",Please enter your Prolific ID,"In the referendum on whether the UK should remain a member of the EU (BREXIT), how did you vote? (June 23 2016)",Opinion
01/08/23 9:09,I agree,62b07159ba623a4beb4012e0,Remain,"The current economic situation is mostly to do with Brexit and the UK leaving the EU. This is due to us having reduced trade and there being more tariffs and barriers. Also, the cost of goods has increased and we simply are having to pay more for goods from European countries due to tariffs that are in place. It is not all due to Brexit however, the current Conservative government has handled the economy very poorly ensuring those a the top are cared for whilst those at the middle and bottom are left to fend for themselves. However, I do believe that if we rejoined the EU that would solve a lot of our problems, including but not limited to a better economy, better workers rights and more cooperation."
01/08/23 9:10,I agree,5fb4b543282b20203734ba72,Remain,"The UK economy is moribund as a direct consequence of Brexit. While the heaviest impact won't be felt for some time, I feel that we have now begun an irreversible decline. We've lost our biggest trading partner because of the ideological blindness of a party of populists. "
01/09/23 23:13,I agree,61112224a467c6ac0028d1e2,Leave,"I dont believe that the country has made the best of Brexit yet. It took 3 years to get through following the vote. Opposition parties damaged our country in that time by trying to stop the will of the people. We should get the Irish situation shorted out asap. We should ""take control"" of our borders and send migrants back to where they came. We can make Brexit a success we just need the Government to grow some balls and get on with it."
01/09/23 23:14,I agree,58ab5e778bf22a00015b907d,Leave,It's not caused by brexit it's caused by the war.
01/09/23 23:18,I agree,615233b197ee051f7fbabd6f,Leave,"Although some of it may have been caused by Brexit I don’t think it can be said the current economic condition is solely because of Brexit. There have been many factors that have contributed to the economic condition. Global pandemic, poor government decision making has played a part. The Russian/Ukraine war saw gas prices increase. All of which have nothing to do with Brexit."
01/08/23 9:14,I agree,5eac351c63858608351866b4,Remain,"yes, a failure to to replace all regional investment and funding from the previous EU as well the increased adminstration to trade with the continent has lead to a decrease in the economic growth. This along with the with the associated optics of those who championed Brexit has left the UK as not very business friendly place to invest or to visit."
01/08/23 9:15,I agree,63484e978512958f261935e2,Remain,"I don't think the conditions can be blamed solely on Brexit as there's also effects from the Ukranian war and COVID, but Brexit weakened our economy at a critical time which has severely diminished our ability to trade internationally and to borrow from other nations."
01/09/23 23:24,I agree,5fec4bf28fd71dda83c7f34e,Leave,"I don't believe it's to blame, at least to the extent that is being suggested here. It will play some part in affecting trade agreements and affect some labour laws for the worse. However, the main cause of the economic situation at present is the Conservative Party, who have been in power for twelve years. It is their mismanagement and incompetence along with corruption that have spiraled out of control. All this could have been prevented if the British public had voted in Jeremy Corbin. "
01/08/23 9:18,I agree,60be448c7a00c44fbb47500e,Remain,"I do not think the current condition is directly caused by brexit however it’s caused by lots of factors. 
Brexit has meant many things in our economy has changed and it’s made life a lot harder for many. 
We didn’t need to leave and this has cost us a lot of money. 
Covid had a huge unpack on our economy and so have the changing of our priminister."
01/08/23 9:28,I agree,628fa6032c88793a56546851,Remain,"I don't believe that the current economic woes are caused *solely* by BREXIT, but it did play a large part. Certainly our being apart from Europe has impacted us financially and in other, less tangible yet more far-reaching ways. Closer ties to Europe would be helpful as we attempt to navigate into energy independence and towards a greener planet. For sure, trading with Europe has become more expensive. Also everything takes longer to travel around Europe, which impedes flexibility and ensure we all lose trade to swifter economies, like China. We were stronger together."
